case_id,provisional_primary_mode,provisional_secondary_modes,false_problem_overlay,hazard_flag,rationale,next_discriminating_question
C01,V2,"V1;S4",true,false,"The stated storage request conflicts with observed duplicate inflow and poor visibility.","How much required inventory remains after duplicates and expired goods are removed?"
C02,S3,"",false,false,"Measured height directly contradicts intended fit; product quality is not implicated.","Were the published product dimensions accurate?"
C03,S2,"S1",true,false,"The existing organizer is away from the actual entry and drop path.","Do keys return consistently when a temporary drop point is placed by the garage entry?"
C04,C1,"S1",false,false,"Different users apply incompatible category models.","Can the household agree where three frequently misplaced items belong without prompts?"
C05,B2,"B1;S1",false,false,"The reset has high physical step cost and no intake routine; multiple causes remain.","Which step is skipped first during an ordinary grocery reset?"
C06,P1,"",false,false,"Repeated same-point failure under represented load supports durability failure.","Did units from another batch or design fail under the same stated load?"
C07,E1,"",true,true,"Recurring rain-linked moisture and possible growth make a storage prescription unsafe and causally incomplete.","Has the water-entry source and extent of moisture or growth been assessed by a qualified person?"
C08,T1,"",true,false,"A bounded recent event exceeds a previously functional baseline.","Does function return after the known destinations are processed?"
C09,H1,"E3;S5",false,true,"The current storage conflicts with mobility and creates an explicit fall hazard.","Can the route be cleared immediately and assessed without requiring bending or lifting by the resident?"
C10,D1,"",true,false,"No functional consequence is established; the complaint is aesthetic.","What concrete decision time waste access safety or maintenance outcome would matching containers improve?"
C11,V1,"V2;V3",true,false,"Low-use inventory and continuing inflow precede another capacity purchase.","What portion of retained material is required for named projects in the next year?"
C12,S4,"V2",false,false,"Visibility change already reduced duplicate acquisition; both modes interact.","Does the effect persist across several shopping cycles?"
C13,S2,"S5;V1",true,true,"Frequent-use storage is far from use and requires an unsafe reach while low-use items occupy better space.","Can the daily appliance move to point of use without creating another safety or capacity failure?"
C14,E1,"",true,true,"An active plumbing leak is the causal priority; sealed containers would conceal rather than fix it.","Has the leak been stopped and the damaged cabinet assessed?"
C15,B2,"S1",true,false,"The labeling product functions; category maintenance did not occur.","How often do categories change and what is the minimum sustainable review cadence?"
C16,H1,"S6",false,false,"The system does not fit the actual user's reach and grip.","Which container types can the child use safely and return without adult help?"
C17,S3,"",false,false,"Door-swing clearance is part of fit and was omitted from measurement.","What is the minimum removable clearance with the door in its normal open position?"
C18,B3,"B2",false,false,"Heavy caregiving periods reduce execution capacity and the nine-category reset magnifies effort.","Does a lower-step temporary intake system preserve function during high-demand weeks?"
C19,INSUFFICIENT,"",false,false,"A photograph and stated solution do not distinguish volume fit routine access or other causes.","What recurring consequence occurs and what has already been tried?"
C20,V1,"E3;V3",true,true,"The immediate issue is blocked egress; a larger rack is not yet justified and may preserve excess volume.","Can the exit be cleared immediately and which shoes are required at this location?"
