case_id,training_only_case,reported_cause_or_request,observed_context,coder_primary_mode,coder_secondary_modes,coder_false_problem,coder_hazard_flag,coder_evidence,coder_next_discriminating_question,coder_notes
C01,"I need more pantry bins.","The shelves are full and I keep buying food I already have.","Several unopened duplicates are behind opaque containers; weekly bulk purchases continue; no inventory check occurs before shopping.",,,,,,,
C02,"This drawer organizer is useless.","The organizer will not sit inside the drawer.","The drawer is 3 inches high; the organizer is 4 inches high; only width was measured before purchase.",,,,,,,
C03,"We need a larger key organizer.","Keys and mail pile on the kitchen counter.","The existing organizer is beside the front door; everyone enters through the garage next to the kitchen.",,,,,,,
C04,"The labels do not work.","Family members return items to different shelves.","Each person uses different category names; all can reach the shelves; no shared placement rule exists.",,,,,,,
C05,"The pantry needs a complete redesign.","It looks organized for three days and then collapses.","New groceries have no assigned intake step; several containers must be unstacked and unlidded during every reset.",,,,,,,
C06,"We need stronger shelves.","A plastic storage bin cracked and the stack collapsed.","The bin was used within its stated load and cracked at the same hinge as two earlier units.",,,,,,,
C07,"I need waterproof garage containers.","Stored items are damp and smell musty.","Water staining is visible beneath an exterior-wall seam; moisture returns after rain; possible visible growth is present.",,,,,,,
C08,"The whole house needs an organization system.","Boxes cover one room after a holiday delivery week.","The home was functional before the deliveries; every box has a known destination; the backlog is four days old.",,,,,,,
C09,"Floor bins are the only storage that fits.","An older resident must step around bins in a hallway.","The route is narrow; two near-falls occurred; the resident has difficulty bending and lifting.",,,,,,,
C10,"This pantry looks chaotic.","The owner wants matching containers.","Every item is found quickly; nothing expires; weekly resets succeed; no safety time waste or access consequence is reported.",,,,,,,
C11,"I need another craft cabinet.","Craft materials no longer fit in the room.","More than half have not been used in two years; new materials arrive monthly; existing cabinets are correctly measured and full.",,,,,,,
C12,"I need to stop buying duplicates.","Food expires unseen in deep opaque bins.","Purchases are made without checking contents; when items are moved to visible shallow zones duplicate buying drops.",,,,,,,
C13,"The kitchen is too small.","A daily appliance is stored on a high shelf across the room.","Unused serving pieces occupy the point-of-use cabinet; retrieving the appliance requires a stool twice daily.",,,,,,,
C14,"I need sealed containers under the sink.","Supplies become wet after each dishwasher cycle.","A pipe connection drips during operation; the cabinet base is swollen; the leak has not been repaired.",,,,,,,
C15,"The label maker failed.","Items no longer match their labels after six months.","Household categories changed but labels and shelf assignments were never reviewed; adhesive and printing remain intact.",,,,,,,
C16,"The toy system works for adults but not the child.","Toys remain on the floor after play.","Bins are above the child's reach and lids require more grip strength than the child has; the child can use an open floor-level basket.",,,,,,,
C17,"The shelf dimensions were correct.","A new bin fits the width and depth but cannot be removed.","The open door and hinge reduce usable clearance; door-swing clearance was not measured.",,,,,,,
C18,"I cannot stay organized.","Mail and routine items accumulate during weeks with heavy caregiving duties.","Available storage is adequate and item volume is stable; the system requires sorting into nine categories before anything can be put away.",,,,,,,
C19,"I need an organizer for this closet.","The only information supplied is one photograph of a full closet.","No inventory dimensions frequency consequences users or workarounds are provided.",,,,,,,
C20,"I need a bigger shoe rack.","Shoes block the only exit path.","The rack holds its rated quantity; additional shoes sit in the egress route; the household reports no alternative exit.",,,,,,,
